region_id,n_nodes,n_edges,n_terminals,n_steiner,bypassable,chords,interesting,reason
139,8,9,5,1,0,0,False,unique_path
141,370,1456,3,4,4,0,True,ok
143,312,1260,4,2,2,0,True,ok
145,11,19,3,3,2,0,True,ok
146,21,38,8,1,0,0,False,unique_path
147,47,82,3,2,2,1,True,ok
148,116,291,7,2,2,3,True,ok
150,307,1097,3,1,1,0,True,ok
151,257,1164,3,4,4,1,True,ok
152,17,29,3,2,1,0,True,ok
154,149,494,3,1,1,0,True,ok
155,24,39,4,1,0,0,False,unique_path
156,186,720,5,1,1,0,True,ok
158,357,1510,9,4,4,5,True,ok
160,132,339,11,5,4,7,True,ok
161,144,464,3,2,2,2,True,ok
162,349,1226,8,4,4,3,True,ok
163,25,48,3,1,1,0,True,ok
164,22,49,4,1,1,1,True,ok
165,9,11,5,1,0,0,False,unique_path
167,356,1626,4,1,1,0,True,ok
169,267,987,4,3,3,1,True,ok
171,236,765,3,2,2,3,True,ok
173,52,95,3,1,1,0,True,ok
174,295,1145,4,4,4,3,True,ok
175,196,598,6,4,4,2,True,ok
176,16,24,4,2,2,1,True,ok
177,91,266,5,2,2,3,True,ok
178,356,1493,4,2,1,0,True,ok
179,85,193,5,2,2,1,True,ok
180,28,50,6,1,0,0,False,unique_path
181,381,1863,4,3,3,2,True,ok
182,388,3149,19,8,8,7,True,ok
183,87,204,5,2,2,5,True,ok
184,250,1206,5,3,3,4,True,ok
185,123,315,7,3,2,3,True,ok
186,13,20,3,2,1,0,True,ok
188,198,715,3,2,2,1,True,ok
189,275,922,8,5,5,1,True,ok
190,85,258,6,2,2,6,True,ok
191,231,667,5,3,3,1,True,ok
192,284,1057,5,3,3,3,True,ok
193,98,261,4,3,1,1,True,ok
195,25,59,3,2,2,0,True,ok
196,30,77,3,1,1,1,True,ok
197,8,9,5,1,0,0,False,unique_path
199,120,317,3,1,1,0,True,ok
200,17,28,6,1,0,0,False,unique_path
204,165,522,4,1,1,1,True,ok
205,42,76,3,3,1,0,True,ok
206,19,33,3,1,1,0,True,ok
209,116,488,4,2,2,0,True,ok
210,162,463,4,2,1,0,True,ok
211,287,1138,8,4,4,9,True,ok
212,45,103,4,2,1,0,True,ok
213,205,596,7,9,6,9,True,ok
214,120,390,5,2,2,1,True,ok
215,9,11,3,1,1,0,True,ok
216,64,146,6,3,2,2,True,ok
219,94,236,4,2,2,0,True,ok
220,51,132,3,1,1,0,True,ok
221,194,485,3,2,1,1,True,ok
223,26,45,5,1,0,0,False,unique_path
224,67,160,6,2,1,0,True,ok
225,76,218,3,2,2,1,True,ok
226,40,119,4,2,2,2,True,ok
227,343,1208,3,1,1,1,True,ok
228,314,1876,7,5,5,3,True,ok
229,259,875,5,2,1,1,True,ok
230,322,1061,5,3,3,3,True,ok
231,201,1254,10,4,4,10,True,ok
235,315,1006,17,9,9,22,True,ok
236,236,904,8,1,0,4,False,unique_path
238,310,1259,5,2,2,3,True,ok
241,33,62,4,1,1,0,True,ok
242,7,7,5,1,0,0,False,unique_path
243,71,222,3,2,2,3,True,ok
244,144,421,6,2,2,3,True,ok
247,194,960,5,1,1,1,True,ok
249,8,11,3,1,0,0,False,unique_path
252,168,506,4,2,1,1,True,ok
253,166,473,3,2,1,0,True,ok
254,216,819,5,3,3,4,True,ok
256,58,144,3,2,2,3,True,ok
257,129,498,3,1,1,0,True,ok
259,302,2749,3,2,2,1,True,ok
260,75,178,3,1,0,0,False,unique_path
261,10,22,4,1,1,0,True,ok
262,375,1223,5,3,3,2,True,ok
265,62,156,5,1,1,0,True,ok
266,81,178,6,2,0,0,False,unique_path
267,17,24,5,1,1,0,True,ok
268,8,10,5,1,0,0,False,unique_path
269,309,1094,4,4,2,1,True,ok
270,127,340,6,2,1,0,True,ok
271,358,2090,17,7,7,21,True,ok
273,284,844,3,1,1,1,True,ok
274,122,331,4,3,3,2,True,ok
275,327,983,5,3,2,3,True,ok
276,398,1353,12,6,5,7,True,ok
277,153,509,5,1,1,5,True,ok
278,178,699,4,4,4,2,True,ok
280,21,34,4,1,0,0,False,unique_path
281,113,335,6,3,3,4,True,ok
282,79,218,3,1,1,0,True,ok
283,27,73,3,1,1,0,True,ok
284,159,500,3,2,2,3,True,ok
287,57,158,4,3,3,2,True,ok
290,32,61,6,1,1,0,True,ok
291,72,151,3,2,1,0,True,ok
292,368,1332,7,4,3,7,True,ok
293,12,18,3,3,1,0,True,ok
298,66,132,3,1,1,1,True,ok
300,11,14,8,1,0,0,False,unique_path
301,141,373,5,2,2,1,True,ok
303,152,485,4,1,1,0,True,ok
304,28,50,6,1,0,0,False,unique_path
306,374,1462,3,2,1,0,True,ok
308,118,437,8,1,0,4,False,unique_path
310,21,40,3,1,1,0,True,ok
311,260,925,6,4,4,4,True,ok
312,59,150,3,1,1,0,True,ok
313,27,57,7,2,2,2,True,ok
314,19,29,8,1,0,0,False,unique_path
316,17,27,5,2,1,0,True,ok
318,174,482,3,1,1,0,True,ok
319,128,574,4,3,3,1,True,ok
320,173,557,3,2,1,0,True,ok
321,246,791,3,1,1,0,True,ok
322,20,38,3,1,1,1,True,ok
324,145,532,5,3,3,4,True,ok
325,12,19,5,1,0,0,False,unique_path
326,68,146,3,2,2,0,True,ok
327,122,413,9,2,1,8,True,ok
328,105,345,8,1,0,4,False,unique_path
330,397,1473,3,2,2,1,True,ok
331,42,136,3,3,3,4,True,ok
332,16,23,5,1,0,0,False,unique_path
333,17,33,3,1,1,0,True,ok
