idx,n_nodes,n_edges,n_terminals,red_nodes,red_edges,vars,L,ilp_cost,ilp_status,ilp_t,sa_cost,sa_ratio,sa_feas_raw,sa_t,gnn_cost,gnn_ratio,gnn_feas_raw,gnn_t,note
74,202,888,6,173,842,3712,2,2.0453,skipped_KMBref,,,,,,,,,,ilp_skipped_large
151,205,596,7,143,488,7826,7,7.0822,skipped_KMBref,,,,,,,,,,ilp_skipped_large
64,207,627,7,156,557,2538,2,2.2468,skipped_KMBref,,,,,,,,,,ilp_skipped_large
178,216,819,5,165,737,6552,4,2.3462,skipped_KMBref,,,,,,,,,,ilp_skipped_large
77,223,839,9,190,792,7092,4,3.7111,skipped_KMBref,,,,,,,,,,ilp_skipped_large
91,230,705,5,169,619,4218,3,4.5066,skipped_KMBref,,,,,,,,,,ilp_skipped_large
136,231,667,5,121,491,4408,4,2.0104,skipped_KMBref,,,,,,,,,,ilp_skipped_large
7,233,827,7,185,762,6832,4,3.7919,skipped_KMBref,,,,,,,,,,ilp_skipped_large
118,236,765,3,146,617,2758,2,1.1401,skipped_KMBref,,,,,,,,,,ilp_skipped_large
36,237,649,4,154,529,2422,2,1.4217,skipped_KMBref,,,,,,,,,,ilp_skipped_large
224,246,791,3,166,662,2978,2,1.1489,skipped_KMBref,,,,,,,,,,ilp_skipped_large
130,250,1206,5,212,1150,7533,3,1.7624,skipped_KMBref,,,,,,,,,,ilp_skipped_large
95,254,862,5,200,784,5301,3,3.5987,skipped_KMBref,,,,,,,,,,ilp_skipped_large
104,257,1164,3,207,1089,7152,3,3.1726,skipped_KMBref,,,,,,,,,,ilp_skipped_large
164,259,875,5,182,752,3370,2,1.8581,skipped_KMBref,,,,,,,,,,ilp_skipped_large
216,260,925,6,215,856,7704,4,2.5526,skipped_KMBref,,,,,,,,,,ilp_skipped_large
73,261,921,5,187,791,7072,4,2.6585,skipped_KMBref,,,,,,,,,,ilp_skipped_large
89,261,922,5,201,832,7456,4,3.824,skipped_KMBref,,,,,,,,,,ilp_skipped_large
24,265,857,4,185,730,4932,3,1.411,skipped_KMBref,,,,,,,,,,ilp_skipped_large
44,265,1952,3,230,1911,12153,3,1.774,skipped_KMBref,,,,,,,,,,ilp_skipped_large
117,267,987,4,175,846,3732,2,2.1533,skipped_KMBref,,,,,,,,,,ilp_skipped_large
62,269,1372,4,235,1321,14380,5,4.084,skipped_KMBref,,,,,,,,,,ilp_skipped_large
2,271,1634,8,226,1558,10023,3,3.6339,skipped_KMBref,,,,,,,,,,ilp_skipped_large
134,275,922,8,193,805,7208,4,4.3361,skipped_KMBref,,,,,,,,,,ilp_skipped_large
83,279,1371,3,241,1316,5744,2,1.6179,skipped_KMBref,,,,,,,,,,ilp_skipped_large
137,284,1057,5,238,989,6645,3,2.0598,skipped_KMBref,,,,,,,,,,ilp_skipped_large
192,284,844,3,169,649,2932,2,0.8847,skipped_KMBref,,,,,,,,,,ilp_skipped_large
17,285,2108,13,249,2048,17376,4,7.0811,skipped_KMBref,,,,,,,,,,ilp_skipped_large
149,287,1138,8,230,1053,7005,3,2.9613,skipped_KMBref,,,,,,,,,,ilp_skipped_large
120,295,1145,4,240,1070,9516,4,3.3741,skipped_KMBref,,,,,,,,,,ilp_skipped_large
76,297,801,3,136,512,2318,2,1.384,skipped_KMBref,,,,,,,,,,ilp_skipped_large
71,302,2588,3,278,2557,16173,3,1.676,skipped_KMBref,,,,,,,,,,ilp_skipped_large
181,302,2749,3,286,2725,17205,3,1.5788,skipped_KMBref,,,,,,,,,,ilp_skipped_large
103,307,1097,3,212,962,4270,2,0.6234,skipped_KMBref,,,,,,,,,,ilp_skipped_large
189,309,1094,4,257,1020,6888,3,3.3476,skipped_KMBref,,,,,,,,,,ilp_skipped_large
169,310,1259,5,222,1123,7401,3,1.6686,skipped_KMBref,,,,,,,,,,ilp_skipped_large
98,312,1260,4,245,1166,5152,2,1.5322,skipped_KMBref,,,,,,,,,,ilp_skipped_large
163,314,1876,7,256,1793,19205,5,4.0398,skipped_KMBref,,,,,,,,,,ilp_skipped_large
167,315,1006,17,236,871,13839,7,11.6877,skipped_KMBref,,,,,,,,,,ilp_skipped_large
28,316,1052,3,224,918,6177,3,3.6397,skipped_KMBref,,,,,,,,,,ilp_skipped_large
165,322,1061,5,228,929,4170,2,2.5353,skipped_KMBref,,,,,,,,,,ilp_skipped_large
194,327,983,5,212,803,7268,4,3.0533,skipped_KMBref,,,,,,,,,,ilp_skipped_large
63,332,1685,13,289,1624,21216,6,7.5315,skipped_KMBref,,,,,,,,,,ilp_skipped_large
35,337,1283,5,238,1148,10132,4,2.8118,skipped_KMBref,,,,,,,,,,ilp_skipped_large
72,338,3178,14,307,3132,39420,6,7.2448,skipped_KMBref,,,,,,,,,,ilp_skipped_large
57,343,1127,6,237,976,8752,4,2.8519,skipped_KMBref,,,,,,,,,,ilp_skipped_large
162,343,1208,3,241,1036,4624,2,0.7863,skipped_KMBref,,,,,,,,,,ilp_skipped_large
112,349,1226,8,212,1016,8972,4,3.4977,skipped_KMBref,,,,,,,,,,ilp_skipped_large
116,356,1626,4,289,1524,6672,2,1.0566,skipped_KMBref,,,,,,,,,,ilp_skipped_large
124,356,1493,4,285,1391,9198,3,2.5596,skipped_KMBref,,,,,,,,,,ilp_skipped_large
109,357,1510,9,263,1378,12072,4,3.8737,skipped_KMBref,,,,,,,,,,ilp_skipped_large
191,358,2090,17,322,2037,35160,8,7.1847,skipped_KMBref,,,,,,,,,,ilp_skipped_large
3,363,3388,16,331,3341,49084,7,8.15,skipped_KMBref,,,,,,,,,,ilp_skipped_large
66,364,3410,18,356,3397,35745,5,6.8916,skipped_KMBref,,,,,,,,,,ilp_skipped_large
206,368,1332,7,260,1152,10252,4,4.1383,skipped_KMBref,,,,,,,,,,ilp_skipped_large
97,370,1456,3,308,1366,9117,3,3.2142,skipped_KMBref,,,,,,,,,,ilp_skipped_large
213,374,1462,3,276,1308,5782,2,1.3493,skipped_KMBref,,,,,,,,,,ilp_skipped_large
184,375,1223,5,270,1072,4826,2,2.3243,skipped_KMBref,,,,,,,,,,ilp_skipped_large
1,378,1593,3,276,1442,6318,2,1.1532,skipped_KMBref,,,,,,,,,,ilp_skipped_large
93,379,1322,3,271,1137,5088,2,1.6034,skipped_KMBref,,,,,,,,,,ilp_skipped_large
127,381,1863,4,315,1771,15424,4,2.5413,skipped_KMBref,,,,,,,,,,ilp_skipped_large
4,386,1263,7,245,1043,9320,4,2.4545,skipped_KMBref,,,,,,,,,,ilp_skipped_large
20,387,1893,8,322,1802,15700,4,2.2834,skipped_KMBref,,,,,,,,,,ilp_skipped_large
128,388,3149,19,352,3101,45871,7,9.476,skipped_KMBref,,,,,,,,,,ilp_skipped_large
11,391,1117,5,259,916,4180,2,3.2266,skipped_KMBref,,,,,,,,,,ilp_skipped_large
37,396,1593,5,300,1443,6370,2,1.737,skipped_KMBref,,,,,,,,,,ilp_skipped_large
231,397,1473,3,282,1286,5706,2,1.8352,skipped_KMBref,,,,,,,,,,ilp_skipped_large
195,398,1353,12,300,1184,13335,5,10.0338,skipped_KMBref,,,,,,,,,,ilp_skipped_large
